candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
1,226,trans_M1,000467,9,4,15,7,5.20277328,1.9929444123943356,3.597858846197168
2,1221,trans_M2,000466,9,4,20,9,4.7519164400000005,2.1799669156305503,3.4659416778152754
3,225,trans_M1,000466,9,3,19,7,4.885475,1.938766064741901,3.4121205323709503
4,1222,trans_M2,000467,8,4,15,7,4.24437092,1.8941106281923916,3.069240774096196
5,2380,trans_M3,000778,14,1,30,2,4.18627344,1.8977623496885996,3.0420178948442995
6,383,trans_M1,000768,14,0,29,1,3.94681064,1.8141556937931762,2.880483166896588
7,2217,trans_M3,000466,8,3,17,8,4.01831144,1.5541043084024344,2.7862078742012173
8,388,trans_M1,000778,14,0,29,1,3.6102446,1.8166255530951458,2.713435076547573
9,387,trans_M1,000777,13,0,30,1,3.7691295599999997,1.6175439109437062,2.6933367354718527
10,2378,trans_M3,000776,13,0,28,1,3.6650542799999997,1.6994119471809805,2.68223311359049
11,2379,trans_M3,000777,13,0,30,1,3.5646255599999996,1.7616268928184557,2.6631262264092275
12,386,trans_M1,000776,13,0,28,0,3.62337372,1.6994119471809832,2.6613928335904915
13,385,trans_M1,000771,13,0,28,1,3.6193230799999996,1.699606659174669,2.6594648695873344
14,2218,trans_M3,000467,6,4,12,7,3.3603210800000003,1.8941106281923916,2.627215854096196
15,1380,trans_M2,000769,14,0,28,1,3.4561124000000003,1.6867441345705185,2.5714282672852593
16,1382,trans_M2,000776,13,0,28,1,3.40957156,1.6994119471809805,2.55449175359049
17,1378,trans_M2,000767,13,0,25,1,3.4749003599999995,1.6324358495573972,2.553668104778698
18,2374,trans_M3,000767,14,0,26,0,3.3054290799999997,1.7793018068574875,2.5423654434287437
19,1381,trans_M2,000771,13,0,28,1,3.3064455600000002,1.6998136826992984,2.5031296213496494
20,382,trans_M1,000767,14,0,27,1,3.1726228799999996,1.7072577476037147,2.4399403138018574
21,1384,trans_M2,000778,12,0,27,1,3.2284534000000003,1.4652876671472614,2.3468705335736306
22,1379,trans_M2,000768,12,0,28,1,3.0529428,1.4881083754341629,2.2705255877170814
23,1383,trans_M2,000777,12,0,27,1,3.14377704,1.3956220447838774,2.2696995423919386
24,384,trans_M1,000769,12,0,29,1,3.13639476,1.4009606482710792,2.2686777041355395
25,2375,trans_M3,000768,9,0,20,1,2.4919928400000004,1.6432205079013449,2.0676066739506727
26,2376,trans_M3,000769,10,0,25,1,2.74394224,1.3280046980377354,2.0359734690188676
27,1502,trans_M2,001009,7,3,13,18,1.82634972,2.104771431322356,1.965560575661178
28,1220,trans_M2,000464,6,2,15,6,2.45989656,1.4252827454812655,1.9425896527406326
29,356,trans_M1,000715,8,1,20,1,2.5286242399999996,1.2779883831953627,1.9033063115976812
30,2216,trans_M3,000464,6,2,16,6,2.4407729999999996,1.238764062377342,1.8397685311886707
31,224,trans_M1,000464,6,2,16,6,2.4048561200000003,1.2387640623773448,1.8218100911886725
32,2373,trans_M3,000765,12,0,24,1,2.04704804,1.5707955840853067,1.8089218120426533
