candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
1,226,trans_M1,000467,9,4,15,7,5.20277328,1.9929444123943356,5.20277328
2,225,trans_M1,000466,9,3,19,7,4.885475,1.938766064741901,4.885475
3,1221,trans_M2,000466,9,4,20,9,4.7519164400000005,2.1799669156305503,4.7519164400000005
4,1222,trans_M2,000467,8,4,15,7,4.24437092,1.8941106281923916,4.24437092
5,2380,trans_M3,000778,14,1,30,2,4.18627344,1.8977623496885996,4.18627344
6,2217,trans_M3,000466,8,3,17,8,4.01831144,1.5541043084024344,4.01831144
7,383,trans_M1,000768,14,0,29,1,3.94681064,1.8141556937931762,3.94681064
8,387,trans_M1,000777,13,0,30,1,3.7691295599999997,1.6175439109437062,3.7691295599999997
9,2378,trans_M3,000776,13,0,28,1,3.6650542799999997,1.6994119471809805,3.6650542799999997
10,386,trans_M1,000776,13,0,28,0,3.62337372,1.6994119471809832,3.62337372
11,385,trans_M1,000771,13,0,28,1,3.6193230799999996,1.699606659174669,3.6193230799999996
12,388,trans_M1,000778,14,0,29,1,3.6102446,1.8166255530951458,3.6102446
13,2379,trans_M3,000777,13,0,30,1,3.5646255599999996,1.7616268928184557,3.5646255599999996
14,1378,trans_M2,000767,13,0,25,1,3.4749003599999995,1.6324358495573972,3.4749003599999995
15,1380,trans_M2,000769,14,0,28,1,3.4561124000000003,1.6867441345705185,3.4561124000000003
16,1382,trans_M2,000776,13,0,28,1,3.40957156,1.6994119471809805,3.40957156
17,2218,trans_M3,000467,6,4,12,7,3.3603210800000003,1.8941106281923916,3.3603210800000003
18,1381,trans_M2,000771,13,0,28,1,3.3064455600000002,1.6998136826992984,3.3064455600000002
19,2374,trans_M3,000767,14,0,26,0,3.3054290799999997,1.7793018068574875,3.3054290799999997
20,1384,trans_M2,000778,12,0,27,1,3.2284534000000003,1.4652876671472614,3.2284534000000003
21,382,trans_M1,000767,14,0,27,1,3.1726228799999996,1.7072577476037147,3.1726228799999996
22,1383,trans_M2,000777,12,0,27,1,3.14377704,1.4618521763829573,3.14377704
23,384,trans_M1,000769,12,0,29,1,3.13639476,1.4009606482710792,3.13639476
24,1379,trans_M2,000768,12,0,28,1,3.0529428,1.4881083754341629,3.0529428
25,2201,trans_M3,000430,6,0,8,1,2.9121686400000004,0.5735709434549607,2.9121686400000004
26,2376,trans_M3,000769,10,0,25,1,2.74394224,1.3280046980377354,2.74394224
27,2375,trans_M3,000768,9,0,20,1,2.4919928400000004,1.6432205079013449,2.4919928400000004
28,1203,trans_M2,000423,8,0,8,1,2.48200408,0.9032576970226017,2.48200408
29,379,trans_M1,000760,8,0,20,1,2.47978276,1.2357979887550952,2.47978276
30,2955,trans_M3,001931,4,1,8,4,2.46438216,0.6962057817910772,2.46438216
31,1220,trans_M2,000464,6,2,15,6,2.45989656,1.4252827454812655,2.45989656
32,2216,trans_M3,000464,6,2,16,6,2.4407729999999996,1.238764062377342,2.4407729999999996
33,224,trans_M1,000464,6,2,16,6,2.4048561200000003,1.2387640623773448,2.4048561200000003
34,209,trans_M1,000430,8,0,9,2,2.3205890799999995,0.7557540433194102,2.3205890799999995
35,2198,trans_M3,000422,8,1,8,2,2.3178,1.0735434577872105,2.3178
36,2199,trans_M3,000423,8,0,8,1,2.2964,0.9032576970226027,2.2964
37,207,trans_M1,000423,7,0,7,1,2.2316934400000004,0.8214501769142224,2.2316934400000004
38,2377,trans_M3,000771,9,0,25,1,2.19049988,1.206386776227491,2.19049988
39,206,trans_M1,000422,8,0,8,1,2.1692,1.0001404605852389,2.1692
40,1353,trans_M2,000716,7,1,17,1,2.1419708400000004,1.1782306683796602,2.1419708400000004
41,356,trans_M1,000715,7,1,20,1,2.1207709999999995,1.1708481320758999,2.1207709999999995
42,2886,trans_M3,001783,4,1,11,4,2.1166156,1.075352624344614,2.1166156
43,638,trans_M1,001277,3,0,6,1,2.1050012,0.44487515073944794,2.1050012
44,2868,trans_M3,001753,4,0,8,4,2.09549508,0.5708471290784037,2.09549508
45,413,trans_M1,000827,3,3,16,6,2.08033504,1.2257089225255204,2.08033504
46,227,trans_M1,000470,4,1,13,3,2.0762,0.8669552141098877,2.0762
47,211,trans_M1,000435,5,0,7,2,2.0748225600000003,0.4351154338525988,2.0748225600000003
48,1205,trans_M2,000430,7,1,8,2,2.06163728,0.8047954120082272,2.06163728
49,639,trans_M1,001279,4,0,7,1,2.0496,0.5989929410567545,2.0496
50,1207,trans_M2,000435,5,0,7,3,2.04926136,0.4351154338525989,2.04926136
51,1202,trans_M2,000422,8,0,8,1,2.0484,0.9195006170968671,2.0484
52,2373,trans_M3,000765,12,0,24,1,2.04704804,1.5707955840853067,2.04704804
53,1223,trans_M2,000470,4,1,9,3,2.0372,0.8669552141098877,2.0372
54,1211,trans_M2,000444,6,0,9,2,2.0019888,0.5119485369230476,2.0019888
55,357,trans_M1,000716,8,1,19,1,1.9929902800000001,1.1782306683796604,1.9929902800000001
56,205,trans_M1,000421,7,0,7,1,1.9869680399999998,1.075752510753045,1.9869680399999998
57,2899,trans_M3,001804,3,1,8,4,1.97227808,0.531918514054899,1.97227808
58,1201,trans_M2,000421,7,0,7,1,1.9714,1.277601390020839,1.9714
59,2293,trans_M3,000609,8,0,21,0,1.97101296,1.3109029637139895,1.97101296
60,1634,trans_M2,001277,3,0,7,1,1.96366436,0.44487515073944794,1.96366436
61,2372,trans_M3,000762,6,0,20,1,1.9614768,1.113018887719544,1.9614768
62,1218,trans_M2,000459,4,0,7,4,1.92761888,1.273925704855452,1.92761888
63,1377,trans_M2,000765,11,0,25,1,1.92378152,1.4934688268189038,1.92378152
64,872,trans_M1,001738,4,2,10,5,1.9186045999999999,0.9630713194464261,1.9186045999999999
65,1409,trans_M2,000827,3,3,17,6,1.9134919200000002,1.3037650239645975,1.9134919200000002
66,1937,trans_M2,001885,4,1,10,4,1.9030715999999999,0.7285599003223039,1.9030715999999999
67,1373,trans_M2,000751,4,0,12,0,1.8965999999999998,0.4755098465907352,1.8965999999999998
68,2922,trans_M3,001854,4,3,9,5,1.8867364799999997,1.0362546826524974,1.8867364799999997
69,2883,trans_M3,001777,4,2,8,3,1.8639223600000001,0.9736850496775885,1.8639223600000001
70,2898,trans_M3,001803,3,1,7,4,1.83656804,0.6367356640998458,1.83656804
71,2882,trans_M3,001776,4,1,10,4,1.8353738000000002,0.9401519545297206,1.8353738000000002
72,2203,trans_M3,000435,5,0,5,2,1.8329388400000002,0.4351154338525988,1.8329388400000002
73,1502,trans_M2,001009,7,3,13,18,1.82634972,2.104771431322356,1.82634972
74,381,trans_M1,000765,11,0,25,1,1.8099318000000002,1.5664628289594562,1.8099318000000002
75,944,trans_M1,001890,3,1,9,4,1.80936016,0.6369745302034685,1.80936016
76,814,trans_M1,001620,3,1,11,4,1.80692912,0.5033992937603324,1.80692912
77,1501,trans_M2,001007,6,2,12,16,1.80365436,1.513370552041223,1.80365436
78,1355,trans_M2,000721,5,0,17,2,1.80021344,0.9934052236891431,1.80021344
79,2197,trans_M3,000421,7,1,8,2,1.7999766400000001,1.2745036404342673,1.7999766400000001
80,1938,trans_M2,001886,3,2,8,4,1.79380824,0.8346449089162313,1.79380824
81,2924,trans_M3,001859,4,1,9,4,1.78928176,0.8581052590404853,1.78928176
82,212,trans_M1,000436,4,0,7,3,1.7875994399999997,0.28363051954755464,1.7875994399999997
83,2347,trans_M3,000712,7,0,18,1,1.7746517999999996,1.0525038620115876,1.7746517999999996
84,1885,trans_M2,001772,4,1,10,4,1.7668298,0.7934431428063422,1.7668298
85,942,trans_M1,001886,3,2,8,4,1.7648194400000001,0.8346449089162313,1.7648194400000001
86,505,trans_M1,001007,6,2,13,15,1.75887216,1.4490753421750027,1.75887216
87,2890,trans_M3,001789,3,2,10,4,1.75607512,0.7681594552212199,1.75607512
88,2222,trans_M3,000475,4,2,11,7,1.7522898400000002,1.101599220368532,1.7522898400000002
89,2630,trans_M3,001279,3,0,6,1,1.7462,0.618955670347807,1.7462
90,941,trans_M1,001885,3,1,8,4,1.7430455999999999,0.6349576184918932,1.7430455999999999
91,877,trans_M1,001753,3,0,9,4,1.7367245199999999,0.4070023035785588,1.7367245199999999
92,1940,trans_M2,001890,3,1,6,3,1.72899204,0.6369745302034685,1.72899204
93,355,trans_M1,000712,7,0,19,1,1.72620656,0.9896102676527074,1.72620656
94,1935,trans_M2,001881,3,2,8,4,1.7178283200000002,0.8346432311735392,1.7178283200000002
95,939,trans_M1,001881,3,2,8,4,1.7158128799999999,0.8346432311735392,1.7158128799999999
96,2805,trans_M3,001620,3,1,10,4,1.71248676,0.5033992937603324,1.71248676
97,210,trans_M1,000434,5,0,7,2,1.7091978799999998,0.4352498376711971,1.7091978799999998
98,940,trans_M1,001884,3,1,8,4,1.70874132,0.6371878641318393,1.70874132
99,1209,trans_M2,000438,3,0,4,2,1.70756768,0.20103667475540685,1.70756768
100,2807,trans_M3,001622,4,2,9,3,1.70426448,0.7574623603204276,1.70426448
101,1348,trans_M2,000705,7,0,18,0,1.69233448,1.0505073160017075,1.69233448
102,2931,trans_M3,001884,3,1,8,4,1.69202288,0.637187864131839,1.69202288
103,1873,trans_M2,001753,3,0,10,4,1.6917094400000001,0.4070023035785588,1.6917094400000001
104,1936,trans_M2,001884,3,2,7,5,1.69093356,0.8870879633007853,1.69093356
105,905,trans_M1,001800,3,1,8,4,1.6816116,0.6348613279434988,1.6816116
106,2934,trans_M3,001888,3,1,9,2,1.6785501600000001,0.6348927923305729,1.6785501600000001
107,931,trans_M1,001854,3,2,9,4,1.67501728,0.834334541195009,1.67501728
108,816,trans_M1,001622,3,2,9,5,1.6725046,0.7008510203605954,1.6725046
109,2210,trans_M3,000448,6,1,8,3,1.6708043199999998,0.8219247999616256,1.6708043199999998
110,885,trans_M1,001768,4,2,10,4,1.66673648,0.9349862495067378,1.66673648
111,933,trans_M1,001859,3,1,7,3,1.6656472,0.6349503940943444,1.6656472
112,1376,trans_M2,000762,7,0,20,1,1.6636788,1.0892998968035525,1.6636788
113,2879,trans_M3,001771,3,0,8,4,1.65854812,0.5918234672343774,1.65854812
114,374,trans_M1,000747,6,0,15,2,1.65225044,1.1830309415069686,1.65225044
115,1949,trans_M2,001907,3,0,8,4,1.6520816799999998,0.4374785665979031,1.6520816799999998
116,416,trans_M1,000833,4,2,17,8,1.6452648799999998,0.8716480117517325,1.6452648799999998
117,2408,trans_M3,000833,3,1,14,6,1.6435,0.6896092781163433,1.6435
118,1939,trans_M2,001888,3,2,8,4,1.63871024,0.8346282044479747,1.63871024
119,1929,trans_M2,001859,3,1,8,4,1.6345504000000002,0.6349503940943444,1.6345504000000002
120,664,trans_M1,001325,2,1,6,2,1.6316000000000002,0.6097843896594094,1.6316000000000002
121,1352,trans_M2,000715,7,1,15,1,1.6284294,1.2683092662070348,1.6284294
122,1812,trans_M2,001622,3,2,8,4,1.62646464,0.7008510203605954,1.62646464
123,2891,trans_M3,001793,4,2,9,4,1.6222156799999998,1.1171050250119605,1.6222156799999998
124,1910,trans_M2,001829,3,2,9,4,1.6213136000000001,0.8343714124998673,1.6213136000000001
125,1830,trans_M2,001656,3,0,11,5,1.6181405199999999,0.4092412437819998,1.6181405199999999
126,1216,trans_M2,000451,5,1,11,4,1.6150325600000002,1.0091231308356141,1.6150325600000002
127,914,trans_M1,001829,3,2,10,4,1.61491352,0.8343714124998673,1.61491352
128,1412,trans_M2,000833,3,3,14,9,1.6083807200000002,1.065619419695801,1.6083807200000002
